[x,y,state]
-120.457,36.2038,1
-133.467,59.7755,1
-132.124,66.5506,1
-121.897,72.8538,1
-117.111,73.5306,1
-111.491,72.7587,1
-104.304,76.2616,1
-97.8479,83.367,1
-90.0631,86.7215,1
-87.8891,92.8488,1
-81.7696,95.1307,1
-75.3268,103.224,1
-71.5296,105.989,1
-62.96309452779898,99.091561296592587,1
